agegroup,group,participant,block,trial,active_bool,handangle_deg,localization_deg,RT_ms
aging,aging_implicit,42,1,142,0,40.1453995043159,21.0825428542463,3109
aging,aging_implicit,42,1,143,0,98.2803302353772,77.3140756019079,2989
aging,aging_implicit,42,1,144,0,122.696324996047,109.150348059131,3069
aging,aging_implicit,42,1,145,0,111.130583239301,91.1274125354859,2949
aging,aging_implicit,42,1,146,0,71.4669816540004,48.9430895272227,3029
aging,aging_implicit,42,1,147,0,113.849034680919,94.9236190627904,3009
aging,aging_implicit,42,1,149,0,118.390292056449,100.769338802589,3029
aging,aging_implicit,42,1,150,0,98.2372807851471,76.5607454463631,3049
aging,aging_implicit,42,1,151,0,86.015550187552,61.1914226126825,3289
aging,aging_implicit,42,1,153,0,109.265759549195,89.3965061478,2769
aging,aging_implicit,42,1,154,0,99.4254776322634,78.4552563680153,3594
aging,aging_implicit,42,1,155,0,79.3281204833546,56.098662892429,3349
aging,aging_implicit,42,1,156,0,102.443820405516,83.0342758733658,3906
aging,aging_implicit,42,2,283,0,129.335209586632,118.394079501198,3529
aging,aging_implicit,42,2,284,0,73.7750961239587,51.1007715147625,3113
aging,aging_implicit,42,2,285,0,95.3541299421384,72.1316496805034,3009
aging,aging_implicit,42,2,286,0,109.541231187268,89.6327934613487,3317
aging,aging_implicit,42,2,287,0,75.1919058692694,52.4649253682048,3416
aging,aging_implicit,42,2,288,0,87.3932447873091,62.8295036677519,2969
aging,aging_implicit,42,2,290,0,72.1062352993103,49.4867456744841,3780
aging,aging_implicit,42,2,291,0,109.087687821899,89.320674839431,2690
aging,aging_implicit,42,2,292,0,109.899601606763,89.9142559282349,2755
aging,aging_implicit,42,2,293,0,141.0792892564,126.08444925609,2970
aging,aging_implicit,42,2,294,0,73.6091799710709,51.40559452036,2959
aging,aging_implicit,42,2,295,0,112.704501596606,93.0984597528679,3029
aging,aging_implicit,42,2,296,0,104.139161550967,85.0805724672826,3157
aging,aging_implicit,42,2,297,0,51.5018663189722,23.1971451450238,3229
aging,aging_implicit,42,2,298,0,84.125537021165,60.0330912797715,2989
aging,aging_implicit,42,2,299,0,108.306414955943,88.6386107817269,2929
aging,aging_implicit,42,2,300,0,69.1510031190385,45.9452555227561,3097
aging,aging_implicit,42,3,427,0,114.661100712382,94.1573191733046,3046
aging,aging_implicit,42,3,428,0,92.1818838109019,67.7791985609524,2949
aging,aging_implicit,42,3,429,0,73.3623007136671,50.8893089398376,3076
aging,aging_implicit,42,3,430,0,123.090714325193,107.008318857526,3072
aging,aging_implicit,42,3,431,0,99.7917071267094,79.2588817552463,2889
aging,aging_implicit,42,3,432,0,73.9930979603864,52.043272548932,3092
aging,aging_implicit,42,3,433,0,88.0309260942108,63.6934212596955,2909
aging,aging_implicit,42,3,434,0,60.3417693054974,31.1605803743869,3080
aging,aging_implicit,42,3,435,0,132.256990559978,122.001235229111,3178
aging,aging_implicit,42,3,436,0,134.005537080694,125.17823457758,2909
aging,aging_implicit,42,3,437,0,61.1272837830739,32.2489682395378,2750
aging,aging_implicit,42,3,438,0,94.0163147183563,70.5813905404136,2850
aging,aging_implicit,42,3,439,0,129.426239644562,118.695554885839,2869
aging,aging_implicit,42,3,440,0,111.032195285058,91.3801969280027,3170
aging,aging_implicit,42,3,441,0,70.520046933755,48.7616507869963,2889
aging,aging_implicit,42,3,442,0,108.398538768557,88.9575810224109,2709
aging,aging_implicit,42,3,443,0,102.164146198231,82.7645561127054,2669
aging,aging_implicit,42,3,444,0,60.0970902638667,28.9214105887398,2889
aging,aging_implicit,42,4,571,0,106.62476893326,86.5687137021903,3042
aging,aging_implicit,42,4,572,0,68.0932146953022,43.9940911262115,3228
aging,aging_implicit,42,4,573,0,103.398210735707,84.3221826614638,2869
aging,aging_implicit,42,4,574,0,63.2953104640202,35.0187916302021,3092
aging,aging_implicit,42,4,575,0,106.277981325401,86.8224012775009,3140
aging,aging_implicit,42,4,576,0,91.4690110520872,67.2241348790142,4442
aging,aging_implicit,42,4,577,0,111.367784849049,91.6757689058571,3411
aging,aging_implicit,42,4,578,0,110.030992661618,90.2540020747194,2969
aging,aging_implicit,42,4,579,0,73.4781102854425,50.9089348459176,2980
aging,aging_implicit,42,4,580,0,85.881208445626,61.0938856113968,3309
aging,aging_implicit,42,4,581,0,75.2965374513207,52.5726473728105,2989
aging,aging_implicit,42,4,582,0,110.48388282165,90.2511654530834,2970
aging,aging_implicit,42,4,583,0,68.9883272255399,46.3312197253036,2869
aging,aging_implicit,42,4,584,0,95.7955536438824,73.4563301042304,3823
aging,aging_implicit,42,4,585,0,109.843945808038,90.1507948518792,2890
aging,aging_implicit,42,4,586,0,109.228365181948,89.2852951589774,3276
aging,aging_implicit,42,4,587,0,65.5891516938787,40.953901024471,3160
aging,aging_implicit,42,4,588,0,89.1486775455885,64.5662914187988,3576
aging,aging_implicit,43,1,91,1,155.095014677596,157.184672109153,5123
aging,aging_implicit,43,1,92,1,119.376107599742,113.865283885377,3581
aging,aging_implicit,43,1,93,1,76.7654623583067,64.6691697722712,3108
aging,aging_implicit,43,1,94,1,40.6668779440992,27.4615130736665,3096
aging,aging_implicit,43,1,96,1,94.9223728557937,86.121358559714,3715
aging,aging_implicit,43,1,99,1,43.6510190156384,30.6333662179831,2859
aging,aging_implicit,43,1,102,1,29.40826573461,10.482253887413,2899
aging,aging_implicit,43,1,103,1,149.28736590522,147.444192524204,3019
aging,aging_implicit,43,1,104,1,98.6085567392764,90.0881626693617,3140
aging,aging_implicit,43,1,106,1,40.3954092995803,27.6670763534621,5519
aging,aging_implicit,43,1,107,1,149.03704769823,147.549073805778,2700
aging,aging_implicit,43,2,237,1,80.5756430656075,68.5124508679124,3433
aging,aging_implicit,43,2,238,1,72.4861829673638,61.3331111900612,3731
aging,aging_implicit,43,2,240,1,145.282078693341,143.035332414588,2577
