agegroup,group,participant,block,trial,active_bool,handangle_deg,localization_deg,RT_ms
cntrl,30explicit,35,3,384,1,89.6916657650857,74.3543725058448,2699
cntrl,30explicit,35,3,385,1,138.195414723939,132.423050207368,2199
cntrl,30explicit,35,3,386,1,110.689205837154,99.1149490935934,2199
cntrl,30explicit,35,3,387,1,54.9839791143597,37.6065764939407,2279
cntrl,30explicit,35,3,388,1,125.970942722648,116.245452210093,2439
cntrl,30explicit,35,3,390,1,115.553391678548,104.144391288398,2660
cntrl,30explicit,35,3,391,1,81.1668765112323,66.6129650275797,2739
cntrl,30explicit,35,3,392,1,73.221862089946,57.8825029010181,2779
cntrl,30explicit,35,3,393,1,143.710914883806,139.902094797422,2459
cntrl,30explicit,35,3,394,1,53.1372310592676,35.8473648033196,2519
cntrl,30explicit,35,3,395,1,90.4864619102311,75.4548806434206,2419
cntrl,30explicit,35,3,396,1,141.936276660521,137.354552365262,2499
cntrl,30explicit,35,4,523,1,61.8069070540094,46.0321697341348,2800
cntrl,30explicit,35,4,524,1,110.206824950741,98.8222165798032,2180
cntrl,30explicit,35,4,525,1,138.651457962043,132.359879099014,2200
cntrl,30explicit,35,4,526,1,114.257709133984,102.050786460589,2279
cntrl,30explicit,35,4,527,1,127.82522219804,118.382981561423,2439
cntrl,30explicit,35,4,528,1,55.6185440864771,39.0755033290955,2979
cntrl,30explicit,35,4,529,1,54.4749805124367,37.642547198065,2499
cntrl,30explicit,35,4,530,1,93.7042732871743,79.9710930726874,2419
cntrl,30explicit,35,4,531,1,135.878983149717,129.251188594076,2719
cntrl,30explicit,35,4,532,1,74.308763759176,59.7824498076116,2379
cntrl,30explicit,35,4,533,1,122.562109149936,111.70446066246,2519
cntrl,30explicit,35,4,535,1,145.568372190441,141.37761282604,2779
cntrl,30explicit,35,4,536,1,100.590212239675,89.3677537519482,2419
cntrl,30explicit,35,4,537,1,61.5022423034868,45.4463980601976,2599
cntrl,30explicit,35,4,538,1,121.031055266473,109.846730670419,2279
cntrl,30explicit,35,4,539,1,101.63437671261,90.3884202697477,2839
cntrl,30explicit,35,4,540,1,48.6312055699203,30.0671517803373,2859
cntrl,30explicit,35,1,139,0,148.349487305218,143.626128006011,1999
cntrl,30explicit,35,1,140,0,109.51553405387,97.4292689018695,1919
cntrl,30explicit,35,1,141,0,77.0715040113099,62.4549626607588,1940
cntrl,30explicit,35,1,142,0,113.064512597155,101.4535569536,1939
cntrl,30explicit,35,1,143,0,139.697006677583,134.406574351866,1999
cntrl,30explicit,35,1,144,0,57.9490920893497,41.294520852389,1919
cntrl,30explicit,35,1,145,0,89.7836080110674,74.5450609313178,1999
cntrl,30explicit,35,1,146,0,48.8485872255377,29.8053823151581,1920
cntrl,30explicit,35,1,147,0,135.059472891573,128.278302512823,1920
cntrl,30explicit,35,1,148,0,155.343709082312,151.448850729053,1920
cntrl,30explicit,35,1,149,0,77.0300666954213,62.3206591868439,1899
cntrl,30explicit,35,1,150,0,89.8704724958672,74.6876699447823,1940
cntrl,30explicit,35,1,151,0,138.764417583849,133.031603878284,1980
cntrl,30explicit,35,1,152,0,54.6207596184599,36.7412093262374,1999
cntrl,30explicit,35,1,153,0,96.5490733682854,83.3132389169106,1999
cntrl,30explicit,35,1,154,0,55.2314972764039,37.3979744264922,1939
cntrl,30explicit,35,1,155,0,90.7637635959238,75.5002316640129,1999
cntrl,30explicit,35,1,156,0,135.775684834941,129.200666896262,2019
cntrl,30explicit,35,2,283,0,69.6335544937614,54.9589688661198,2239
cntrl,30explicit,35,2,284,0,112.773392767842,100.868126752891,1999
cntrl,30explicit,35,2,285,0,151.817740088649,147.642446605679,1939
cntrl,30explicit,35,2,286,0,113.158704933131,101.433325832407,1939
cntrl,30explicit,35,2,287,0,53.1273430276631,35.200663790997,1999
cntrl,30explicit,35,2,288,0,148.013363706181,144.550571776905,1940
cntrl,30explicit,35,2,289,0,97.2883288717425,84.8591211220546,1980
cntrl,30explicit,35,2,290,0,142.818745292467,138.135835804893,1919
cntrl,30explicit,35,2,291,0,60.3847828347188,44.0374871147115,2000
cntrl,30explicit,35,2,292,0,138.795561500962,132.756848262418,1980
cntrl,30explicit,35,2,293,0,113.874724868814,102.086267084609,2020
cntrl,30explicit,35,2,294,0,51.4256751108626,33.446484173262,1999
cntrl,30explicit,35,2,295,0,72.5882547924195,58.1132118231273,1939
cntrl,30explicit,35,2,296,0,87.7796933241434,73.043773061823,1939
cntrl,30explicit,35,2,297,0,148.935388305865,145.577542673987,1979
cntrl,30explicit,35,2,298,0,111.686991652929,100.054833830997,2019
cntrl,30explicit,35,2,299,0,122.95108589209,112.323435788241,2039
cntrl,30explicit,35,2,300,0,63.5720263411948,47.45121046813,1979
cntrl,30explicit,35,3,427,0,101.331313313459,90.1587243387579,1919
cntrl,30explicit,35,3,428,0,65.587191880527,49.6021719916891,1919
cntrl,30explicit,35,3,429,0,139.439631752168,134.08211443267,1879
cntrl,30explicit,35,3,430,0,148.276509413716,144.1085035423,1899
cntrl,30explicit,35,3,431,0,78.7905050353668,64.7946262150923,1939
cntrl,30explicit,35,3,432,0,89.0642862974744,74.3009130240607,1999
cntrl,30explicit,35,3,433,0,138.576047017781,132.897949935768,1959
cntrl,30explicit,35,3,434,0,110.231011943016,99.0773676894527,1959
cntrl,30explicit,35,3,435,0,53.0884774513482,35.1245898508834,1959
cntrl,30explicit,35,3,436,0,126.330975452055,116.454188849863,1919
cntrl,30explicit,35,3,438,0,114.870465935137,102.782099001954,1879
cntrl,30explicit,35,3,439,0,79.6441147113862,64.9109770861427,1959
cntrl,30explicit,35,3,440,0,71.4847825555749,55.7074359251169,1919
cntrl,30explicit,35,3,441,0,142.45035194127,137.32451437451,1879
cntrl,30explicit,35,3,442,0,53.226375933176,35.2595250190556,1944
cntrl,30explicit,35,3,443,0,90.4432684199095,75.5313615781162,1999
cntrl,30explicit,35,3,444,0,140.881363288974,136.204641959569,1938
cntrl,30explicit,35,4,571,0,62.6477770099363,47.005515963788,1900
cntrl,30explicit,35,4,572,0,109.512053062359,98.2830424590545,1859
